Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000045515,Pou3f3,0.5106236004536114,0.08633397020449285,0.986730183142957,0.47994975582677096,-0.08633397020449285,0.986730183142957
ENSMUSG00000097063,Pantr2,0.013476869220183292,-1.3046893068751064,0.071976787781289,0.0319966503884514,1.3046893068751064,0.071976787781289
ENSMUSG00000099784,Dalir,0.013851226698521717,0.6406754365480483,0.634163155402049,0.006856425083239585,-0.6406754365480483,0.634163155402049
ENSMUSG00000060679,Mrps9,0.296116765365694,0.32166482504298033,0.47695429301743875,0.2354039278578924,-0.32166482504298033,0.47695429301743875
ENSMUSG00000041907,Gpr45,0.050163902097348924,1.2996385187129817,0.03884473611525367,0.018283800221972228,-1.2996385187129817,0.03884473611525367
ENSMUSG00000070939,Tgfbrap1,0.1662147203822606,0.0005848900782057243,1.0,0.16455420199775003,-0.0005848900782057243,1.0
ENSMUSG00000100269,Gm28782,0.0026205023483689737,-1.6072520768955378,0.3539820338970584,0.006856425083239585,1.6072520768955378,0.3539820338970584
ENSMUSG00000041878,8430432A02Rik,0.0026205023483689737,-0.6072520768955378,1.0,0.0022854750277465285,0.6072520768955378,1.0
ENSMUSG00000010290,AI597479,0.15535835351044627,0.1159077177456389,0.9386454185310377,0.14169945172028475,-0.1159077177456389,0.9386454185310377
ENSMUSG00000008136,Fhl2,0.305850059802493,1.9394219391012455,3.2704685200235217e-08,0.07770615094338196,-1.9394219391012455,3.2704685200235217e-08
ENSMUSG00000066877,Nck2,0.15760449838047683,0.441421769840153,0.3502139604412868,0.11427375138732641,-0.441421769840153,0.3502139604412868
ENSMUSG00000026051,Ecrg4,0.0467946847923031,-5.825959451424128,2.469629519494832e-66,2.6785767325189314,5.825959451424128,2.469629519494832e-66
