Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000042182,Bend6,0.813358383414193,0.09509253324652978,0.7983378285462478,0.34205673451442514,-1.3294014884444103,9.805038499403577e-06,1.0368046871821301,0.4904969222723705,0.05062594759218207
ENSMUSG00000026131,Dst,0.9019844287071279,-0.07094632105949213,0.850520970723878,0.8064549288186812,-0.20956387604429072,0.6768199117342906,1.040085714673213,0.23006006058400857,0.551615747366113
ENSMUSG00000096992,Gm26788,0.0,-2.054285090791696,0.5494880290454103,0.0,1.7543668692481873,1.0,0.0016405137455413451,3.0338403337917885,0.551615747366113
ENSMUSG00000102336,Gm37233,0.0004764841144781447,-1.054285090791696,0.7645073866203346,0.0,1.1694043685270312,1.0,0.0016405137455413451,2.0338403337917885,0.7435105463147726
ENSMUSG00000042111,Ccdc115,0.148186559602703,0.16502793761277879,0.6940695732763856,0.11235440184780389,-0.36592736446952445,0.4849397934746533,0.14436520960763838,0.029793500729085487,1.0
ENSMUSG00000026127,Imp4,0.1558103054343533,-0.00961604145796846,1.0,0.19474762986952673,0.3857222754537948,0.3423964169529575,0.13124109964330763,-0.2916455805087641,0.6383223677198165
ENSMUSG00000026126,Ptpn18,0.04955434790572705,-0.5494929387545242,0.13599385571112135,0.10236734390577687,1.0486522090664212,0.010129129855748153,0.052496439857323045,-0.11159010572977568,1.0
ENSMUSG00000100280,Gm28417,0.0004764841144781447,-1.054285090791696,0.7645073866203346,0.0,1.1694043685270312,1.0,0.0016405137455413451,2.0338403337917885,0.7435105463147726
ENSMUSG00000045815,1700101I19Rik,0.0004764841144781447,-0.05428509079169608,1.0,0.0,1.7543668692481873,1.0,0.0,1.0338403337917885,1.0
ENSMUSG00000045174,Amer3,0.10577947341414812,0.6591519678782682,0.038275545763193856,0.03994823176810805,-1.2562023724619995,0.01015132956426523,0.0836662010226086,-0.16658675604786888,0.9260307913849094
ENSMUSG00000037509,Arhgef4,1.3784685431852726,0.837233801990417,6.875107268427057e-06,0.6891069979998639,-0.8619364675818253,0.003854577260071675,0.8251784140072966,-0.6191468677350656,0.020574431419762087
ENSMUSG00000104002,Gm38336,0.0009529682289562894,-0.46932259007054,1.0,0.0,0.7543668692481873,1.0,0.0016405137455413451,1.4488778330706324,0.8469525481773654
ENSMUSG00000037503,Fam168b,1.2236112059798756,0.6451721996363282,0.0008564429679958343,0.616700827920168,-0.8950631653511294,0.0028053353933969426,0.8907989638289504,-0.33812844359517025,0.37066401114025876
ENSMUSG00000026123,Plekhb2,1.2555356416499113,-0.16284127502642565,0.5413826187458785,1.103569902593985,-0.27385103306139397,0.5139085889013949,1.6044224431394356,0.3812278670672726,0.1807687488743677
ENSMUSG00000102531,1110002O04Rik,0.0019059364579125787,-1.0542850907916979,0.5494880290454103,0.004993528971013506,1.5319744479117388,0.5172997682143812,0.0032810274910826903,0.8114479124553391,0.9848090051446639
ENSMUSG00000045216,Hs6st1,0.2858904686868868,-0.20244227715177354,0.4833189799453765,0.18975410089851322,-0.7219979841694111,0.0507415582948784,0.41997151885858436,0.6364528594106686,0.014123402911231481
ENSMUSG00000037470,Uggt1,0.1991703598518645,-0.18268244518928878,0.5531427756746818,0.202237923326047,-0.03273936896561125,1.0,0.24115552059457776,0.2775094147586503,0.5569594980030945
ENSMUSG00000047180,Neurl3,0.004288357030303302,-0.5397119179619381,0.799164987351707,0.012483822427533766,1.879897751332046,0.12744425658441516,0.0016405137455413451,-0.8730502618167311,0.7432918618454314
ENSMUSG00000037447,Arid5a,0.03954818150168601,-0.9838957629002989,0.002209663092014798,0.04993528971013506,-0.013187044751441057,1.0,0.09679031098693937,1.2402912112592142,0.0004445013651325518
ENSMUSG00000010453,Kansl3,0.2453893189562445,-0.3284600542306908,0.19040168557502965,0.2396893906086483,-0.15944788451712233,0.8510432506351574,0.3527104552913892,0.5313399932626042,0.06641571707925638
ENSMUSG00000001143,Lman2l,0.187734741104389,0.28602153341052006,0.36976384911350807,0.1597929270724322,-0.14807782132913871,0.9031972524873965,0.1492867508442624,-0.2849480535650075,0.6365585254868418
ENSMUSG00000037408,Cnnm4,0.05765457785185551,0.38459915044151494,0.42504461229531526,0.04993528971013506,-0.0431402668530696,1.0,0.03937232989299229,-0.4720505959381702,0.551615747366113
ENSMUSG00000001138,Cnnm3,0.16343405126600363,0.10519312321549945,0.8258526015640729,0.14730910464489844,-0.11352959474446722,0.9664240737337648,0.15420829208088646,-0.050940086405232066,1.0
ENSMUSG00000102845,Gm38033,0.0,-2.054285090791696,0.5494880290454103,0.002496764485506753,3.7543668692481864,0.3073924483645619,0.0,1.0338403337917885,1.0
ENSMUSG00000067653,Ankrd23,0.01524749166330063,-0.6537471612079679,0.43538829046657573,0.03245793831158779,1.1022901726684946,0.2551275250860843,0.018045651200954797,0.09524087845593066,1.0
ENSMUSG00000079610,Ankrd39,0.06384887134007139,0.09179316869624721,1.0,0.0374514672826013,-0.7374862270814875,0.8268463344334573,0.07382311854936054,0.3285835993529198,0.8469525481773654
ENSMUSG00000026121,Sema4c,0.04240708618855488,0.26764300409566566,0.6337878912914684,0.027464409340574283,-0.4935606441953988,0.5294074210156928,0.03937232989299229,0.019485040814717358,1.0
ENSMUSG00000087589,D430040D24Rik,0.0009529682289562894,-1.469322590070541,0.5676276197895386,0.002496764485506753,1.4324387743608247,0.7498875902059405,0.0032810274910826903,1.6188028345129446,0.635517316016327
ENSMUSG00000046337,Fam178b,0.0023824205723907235,-1.469322590070541,0.19983780237974538,0.012483822427533766,2.3393293699693425,0.05942474606508448,0.0032810274910826903,0.1593712158756464,1.0
ENSMUSG00000061518,Cox5b,5.60631209094985,-0.1061831600638139,0.7103463033973682,5.138341311172898,-0.18618098121419235,0.6721269193424072,6.627675531987035,0.25934510996581484,0.45682502343604703
ENSMUSG00000037351,Actr1b,1.3374909093401521,0.6164072839553432,0.0014573966212142234,0.5318108354129384,-1.2673785111650657,1.3715437915125467e-05,1.0958631820216187,-0.14110773429469242,0.8717684092251448
ENSMUSG00000102416,4933424G06Rik,0.0019059364579125787,0.26764300409566566,1.0,0.002496764485506753,1.4324387743608247,0.7498875902059405,0.0,-0.5511221669293676,0.9330997363257197
ENSMUSG00000026117,Zap70,0.014771007548822485,-1.5137167094289943,0.0003472764148153329,0.014980586913040519,-0.5468026654723772,0.5856783174138693,0.06069900858502977,2.0338403337917876,2.4741213491815704e-06
ENSMUSG00000026116,Tmem131,0.31305006321214107,-0.6610081102516638,0.0008165662224314812,0.30710203171733064,-0.30685187275162495,0.4999550541309988,0.6184736820690871,0.9869040198708812,4.897157335118821e-06
ENSMUSG00000050122,Vwa3b,0.013341555205388052,0.3442642856985776,0.746569264392363,0.014980586913040519,0.5173276719473385,0.872698584748977,0.006562054982165381,-0.7735145882658161,0.610518422601667
ENSMUSG00000103603,Gm37020,0.001429452343434434,0.9457149092083039,0.7698899054141063,0.0,0.7543668692481873,1.0,0.0,0.033840333791788524,1.0
ENSMUSG00000026113,Inpp4a,0.8452828190842286,0.446996585685671,0.036371458120095235,0.3520437924564522,-1.2379930685496807,4.217259625863209e-05,0.7956491665875525,0.05477099166138821,1.0
ENSMUSG00000026112,Coa5,0.39309939444446934,0.18038566032318748,0.5531543377798676,0.3021085027463171,-0.3579230767834738,0.4065422679923574,0.37567764772896806,-0.00789023073222217,1.0
ENSMUSG00000026111,Unc50,0.3935758785589475,-0.15695743797052808,0.5727246627733785,0.41196614010861426,0.019575646316318362,1.0,0.45606282126049397,0.2037653352340998,0.6814552507428269
ENSMUSG00000026110,Mgat4a,0.14628062314479043,0.12503860865286498,0.7814169120343718,0.08239322802172284,-0.8376503890069191,0.05416741674779619,0.1673324020452172,0.3067129319508335,0.551615747366113
ENSMUSG00000026090,2010300C02Rik,0.9267616026599914,1.971144096008666,1.908352367984531e-22,0.42944349150716155,-0.7854194929206151,0.01727773723078324,0.10827390720572878,-2.9485573497427766,4.909404584072436e-26
ENSMUSG00000060771,Tsga10,0.07099613305724356,0.31655260457661205,0.5557821588658796,0.07240617007969584,0.18552403389030836,0.8527808517425209,0.04593438487515766,-0.5919944483448969,0.4811323959731955
ENSMUSG00000097268,Gm26805,0.0004764841144781447,-0.05428509079169608,1.0,0.0,1.7543668692481873,1.0,0.0,1.0338403337917885,1.0
